state,race name,county,date,permit approved y/n,                 county caserate per capita 100000 ppl 
Colorado,Pueblo Classic-Steel City Road Race,Pueblo,2020-03-14,no,0.63
Colorado,Pueblo Classic - Pueblo Chilly Crit,Pueblo,2020-03-14,no,0.63
Colorado,Louisville Crit,Boulder,2020-03-21,no,10.18
Colorado,CSU Cobb Lake RR,Larimer,2020-04-04,no,41.72
Colorado,CSU Oval Crit,Larimer,2020-04-05,no,40.38
Colorado,Buff Gold Road Race,Boulder,2020-04-11,no,55.0
Colorado,CU Buffalo Grand Prix,Boulder,2020-04-12,no,59.07
Colorado,Front Range Classic,El Paso,2020-04-18,no,50.62
Colorado,Front Range Classic,El Paso,2020-04-18,no,50.62
Colorado,Squawker Classic,La Plata,2020-04-25,no,31.17
Colorado,Squawker Classic,La Plata,2020-04-26,no,29.22
Colorado,Koppenberg,Boulder,2020-04-26,no,80.12
Colorado,Superior Morgul Classic- Road Race,Boulder,2020-05-17,no,62.13
Colorado,Steamboat Roubaix - CO Senior Road Race Championships,Routt,2020-05-31,no,12.76
Colorado,City Park Crit,Denver,2020-06-06,no,154.63
Colorado,Ridge at 38th Crit - CO Sr Crit Champs,Jefferson,2020-06-07,no,62.3
Colorado,Med Center of Aurora Dove Valley Crit,Arapahoe,2020-06-14,no,71.5
Colorado,Sunshine Hill Climb,Boulder,2020-06-21,no,77.06
Colorado,Miller Ranch Crit,Eagle,2020-06-27,no,118.78
Colorado,Boulder Centre for Orthopedics Crit,Jefferson,2020-06-28,yes,37.04
Colorado,Guanella Pass Hill Climb,Clear Creek,2020-06-28,no,11.0
Colorado,Niwot Crit,Boulder,2020-07-11,no,59.41
Colorado,Longmont Crit - CO Mstr Crit Champs,Boulder,2020-07-12,no,56.69
Colorado,Bannock Crit - CO Jr Crit Champs,Denver,2020-07-18,no,166.79
Colorado,Black Swift Cycleton CSP Crit,Jefferson,2020-07-19,no,92.42
Colorado,Mt Evans HC - CO Sr/Mstr HC Champs,Clear Creek,2020-07-25,no,44.01
Colorado,Stapleton Crit,Denver,2020-07-26,no,217.11
Colorado,Littleton Twilight Crit,Arapahoe,2020-08-01,no,164.68
Colorado,Lookout Mtn Hill Climb,Jefferson,2020-08-02,no,124.97
Colorado,Black Swift Cycleton CSP Crit- Mstr Crt Championships,Jefferson,2020-08-02,yes,124.97
Colorado,Pikes Peak Hill Climb,El Paso,2020-08-08,yes,165.52
Colorado,Thunderbird RR - CO Mstr RR Champs,El Paso,2020-08-09,no,157.49
Colorado,Black Swift Cycleton CSP Crit- Jr/Sr Crit Champs,Jefferson,2020-08-09,yes,97.84
Colorado,Timnath Reservoir RR,Larimer,2020-08-15,no,97.12
Colorado,Alfalfas Louisville Crit,Boulder,2020-08-16,no,70.61
Colorado,Ned - Lyons Omnium - RR,Boulder,2020-08-22,no,54.66
Colorado,Ned - Lyons Omnium - RR,Boulder,2020-08-23,no,52.62
Colorado,Black Swift Cycleton CSP Crit,Jefferson,2020-08-29,no,72.77
Colorado,Black Swift Cycleton CSP Crit,Jefferson,2020-08-30,yes,67.91
Colorado,Steamboat Springs Stage Race - RR,Routt,2020-09-06,yes,12.76
Colorado,Bowl of Death Cyclocross,Boulder,2020-09-17,yes,262.42
Colorado,Cyclo X Valmont,Boulder,2020-09-19,yes,317.75
Colorado,Bowl of Death Cyclocross,Boulder,2020-09-24,yes,517.37
Colorado,Pikes Peak APEX MTB,El Paso,2020-09-25,yes,89.83
Colorado,Pikes Peak APEX MTB,El Paso,2020-09-26,yes,90.48
Colorado,Pikes Peak APEX MTB,El Paso,2020-09-27,yes,89.51
Colorado,Bowl of Death Cyclocross,Boulder,2020-10-01,yes,479.01
Colorado,Cyclo X - Parker,Douglas,2020-10-04,yes,153.78
Colorado,Bowl of Death Cyclocross,Boulder,2020-10-08,yes,204.71
Colorado,Cyclo X - Interlocken,Broomfield,2020-10-10,yes,169.98
Colorado,Bowl of Death Cyclocross,Boulder,2020-10-15,yes,138.85
Colorado,Grit Nine-O Gravel Race ,Huerfano,2020-10-24,yes,104.31
Colorado,Schoolyard Cross,Douglas,2020-10-25,yes,239.96
Colorado,Cyclo X - Broomfield,Broomfield,2020-10-31,yes,524.25
Colorado,US Open Cyclo X,Douglas,2020-10-31,yes,359.41
Colorado,Cyclo X - Westminster,Jefferson,2020-11-14,no,908.44
Colorado,Cyclo X - Parker,Douglas,2020-11-14,yes,936.02
Colorado,Colorado CX Championships,Boulder,2020-11-21,no,1022.86
Colorado,Colorado CX Championships,Boulder,2020-11-22,no,1047.3
Colorado,Cyclo X - Longmont,Weld,2020-12-05,no,1473.35
