county,date,per_capita_rate 
Boulder,2020-03-14,0.34
Boulder,2020-03-15,2.04
Boulder,2020-03-16,0.0
Boulder,2020-03-17,0.34
Boulder,2020-03-18,0.0
Boulder,2020-03-19,1.02
Boulder,2020-03-20,4.41
Boulder,2020-03-21,2.04
Boulder,2020-03-22,2.38
Boulder,2020-03-23,0.68
Boulder,2020-03-24,3.39
Boulder,2020-03-25,0.68
Boulder,2020-03-26,5.09
Boulder,2020-03-27,3.39
Boulder,2020-03-28,2.72
Boulder,2020-03-29,2.04
Boulder,2020-03-30,3.39
Boulder,2020-03-31,2.38
Boulder,2020-04-01,2.38
Boulder,2020-04-02,6.11
Boulder,2020-04-03,3.73
Boulder,2020-04-04,5.43
Boulder,2020-04-05,6.11
Boulder,2020-04-06,4.07
Boulder,2020-04-07,5.77
Boulder,2020-04-08,0.34
Boulder,2020-04-09,3.39
Boulder,2020-04-10,5.77
Boulder,2020-04-11,4.07
Boulder,2020-04-12,6.11
Boulder,2020-04-13,6.79
Boulder,2020-04-14,3.06
Boulder,2020-04-15,2.38
Boulder,2020-04-16,4.07
Boulder,2020-04-17,5.09
Boulder,2020-04-18,5.09
Boulder,2020-04-19,3.39
Boulder,2020-04-20,2.72
Boulder,2020-04-21,10.18
Boulder,2020-04-22,9.17
Boulder,2020-04-23,3.06
Boulder,2020-04-24,14.94
Boulder,2020-04-25,9.17
Boulder,2020-04-26,1.02
Boulder,2020-04-27,5.09
Boulder,2020-04-28,9.51
Boulder,2020-04-29,7.47
Boulder,2020-04-30,5.09
Boulder,2020-05-01,12.9
Boulder,2020-05-02,9.51
Boulder,2020-05-03,5.09
Boulder,2020-05-04,6.11
Boulder,2020-05-05,2.04
Boulder,2020-05-06,5.09
Boulder,2020-05-07,6.79
Boulder,2020-05-08,7.81
Boulder,2020-05-09,4.75
Boulder,2020-05-10,3.39
Boulder,2020-05-11,3.39
Boulder,2020-05-12,3.73
Boulder,2020-05-13,3.06
Boulder,2020-05-14,2.72
Boulder,2020-05-15,6.79
Boulder,2020-05-16,3.39
Boulder,2020-05-17,3.06
Boulder,2020-05-18,4.41
Boulder,2020-05-19,4.75
Boulder,2020-05-20,2.38
Boulder,2020-05-21,4.07
Boulder,2020-05-22,2.72
Boulder,2020-05-23,8.49
Boulder,2020-05-24,1.7
Boulder,2020-05-25,1.36
Boulder,2020-05-26,3.06
Boulder,2020-05-27,2.04
Boulder,2020-05-28,3.06
Boulder,2020-05-29,2.72
Boulder,2020-05-30,3.39
Boulder,2020-05-31,2.04
Boulder,2020-06-01,1.36
Boulder,2020-06-02,0.68
Boulder,2020-06-03,3.06
Boulder,2020-06-04,3.06
Boulder,2020-06-05,1.36
Boulder,2020-06-06,1.02
Boulder,2020-06-07,1.7
Boulder,2020-06-08,2.04
Boulder,2020-06-09,1.7
Boulder,2020-06-10,1.36
Boulder,2020-06-11,3.06
Boulder,2020-06-12,3.06
Boulder,2020-06-13,5.43
Boulder,2020-06-14,1.7
Boulder,2020-06-15,6.11
Boulder,2020-06-16,4.07
Boulder,2020-06-17,12.56
Boulder,2020-06-18,12.22
Boulder,2020-06-19,12.9
Boulder,2020-06-20,5.77
Boulder,2020-06-21,5.09
Boulder,2020-06-22,5.43
Boulder,2020-06-23,7.81
Boulder,2020-06-24,7.81
Boulder,2020-06-25,5.43
Boulder,2020-06-26,5.09
Boulder,2020-06-27,3.73
Boulder,2020-06-28,4.41
Boulder,2020-06-29,2.38
Boulder,2020-06-30,5.77
Boulder,2020-07-01,5.77
Boulder,2020-07-02,4.41
Boulder,2020-07-03,3.39
Boulder,2020-07-04,2.72
Boulder,2020-07-05,1.36
Boulder,2020-07-06,5.77
Boulder,2020-07-07,3.39
Boulder,2020-07-08,5.43
Boulder,2020-07-09,4.41
Boulder,2020-07-10,3.73
Boulder,2020-07-11,6.45
Boulder,2020-07-12,1.7
Boulder,2020-07-13,5.09
Boulder,2020-07-14,10.18
Boulder,2020-07-15,7.81
Boulder,2020-07-16,7.81
Boulder,2020-07-17,6.79
Boulder,2020-07-18,1.7
Boulder,2020-07-19,3.39
Boulder,2020-07-20,5.43
Boulder,2020-07-21,4.41
Boulder,2020-07-22,6.79
Boulder,2020-07-23,4.75
Boulder,2020-07-24,13.92
Boulder,2020-07-25,6.11
Boulder,2020-07-26,4.07
Boulder,2020-07-27,5.09
Boulder,2020-07-28,7.81
Boulder,2020-07-29,4.75
Boulder,2020-07-30,8.49
Boulder,2020-07-31,8.83
Boulder,2020-08-01,5.09
Boulder,2020-08-02,11.2
Boulder,2020-08-03,8.15
Boulder,2020-08-04,2.38
Boulder,2020-08-05,15.62
Boulder,2020-08-06,5.43
Boulder,2020-08-07,6.11
Boulder,2020-08-08,1.7
Boulder,2020-08-09,5.43
Boulder,2020-08-10,5.43
Boulder,2020-08-11,6.45
Boulder,2020-08-12,5.09
Boulder,2020-08-13,3.39
Boulder,2020-08-14,2.38
Boulder,2020-08-15,1.36
Boulder,2020-08-16,1.7
Boulder,2020-08-17,-1.7
Boulder,2020-08-18,4.07
Boulder,2020-08-19,8.15
Boulder,2020-08-20,3.06
Boulder,2020-08-21,5.09
Boulder,2020-08-22,4.75
Boulder,2020-08-23,3.39
Boulder,2020-08-24,4.75
Boulder,2020-08-25,3.73
Boulder,2020-08-26,2.04
Boulder,2020-08-27,5.09
Boulder,2020-08-28,4.07
Boulder,2020-08-29,2.04
Boulder,2020-08-30,2.04
Boulder,2020-08-31,7.13
Boulder,2020-09-01,2.72
Boulder,2020-09-02,6.79
Boulder,2020-09-03,5.77
Boulder,2020-09-04,12.9
Boulder,2020-09-05,4.75
Boulder,2020-09-06,22.07
Boulder,2020-09-07,1.36
Boulder,2020-09-08,6.79
Boulder,2020-09-09,24.44
Boulder,2020-09-10,15.96
Boulder,2020-09-11,16.97
Boulder,2020-09-12,29.87
Boulder,2020-09-13,11.88
Boulder,2020-09-14,28.18
Boulder,2020-09-15,38.02
Boulder,2020-09-16,24.1
Weld,2020-03-13,0.4
Weld,2020-03-14,0.4
Weld,2020-03-15,0.79
Weld,2020-03-16,0.0
Weld,2020-03-17,0.4
Weld,2020-03-18,1.58
Weld,2020-03-19,0.0
Weld,2020-03-20,2.37
Weld,2020-03-21,2.37
Weld,2020-03-22,6.33
Weld,2020-03-23,5.14
Weld,2020-03-24,10.28
Weld,2020-03-25,4.35
Weld,2020-03-26,7.91
Weld,2020-03-27,8.7
Weld,2020-03-28,12.66
Weld,2020-03-29,7.52
Weld,2020-03-30,13.84
Weld,2020-03-31,15.82
Weld,2020-04-01,15.03
Weld,2020-04-02,14.24
Weld,2020-04-03,19.78
Weld,2020-04-04,17.8
Weld,2020-04-05,18.19
Weld,2020-04-06,13.45
Weld,2020-04-07,13.05
Weld,2020-04-08,14.24
Weld,2020-04-09,16.22
Weld,2020-04-10,13.84
Weld,2020-04-11,13.45
Weld,2020-04-12,21.75
Weld,2020-04-13,27.69
Weld,2020-04-14,19.78
Weld,2020-04-15,27.69
Weld,2020-04-16,12.66
Weld,2020-04-17,10.28
Weld,2020-04-18,17.01
Weld,2020-04-19,16.22
Weld,2020-04-20,20.17
Weld,2020-04-21,23.34
Weld,2020-04-22,22.55
Weld,2020-04-23,10.28
Weld,2020-04-24,35.6
Weld,2020-04-25,30.46
Weld,2020-04-26,15.43
Weld,2020-04-27,29.66
Weld,2020-04-28,29.27
Weld,2020-04-29,34.02
Weld,2020-04-30,28.48
Weld,2020-05-01,10.28
Weld,2020-05-02,13.45
Weld,2020-05-03,14.24
Weld,2020-05-04,9.89
Weld,2020-05-05,22.94
Weld,2020-05-06,13.05
Weld,2020-05-07,21.36
Weld,2020-05-08,17.8
Weld,2020-05-09,13.05
Weld,2020-05-10,7.52
Weld,2020-05-11,7.91
Weld,2020-05-12,12.26
Weld,2020-05-13,8.31
Weld,2020-05-14,8.31
Weld,2020-05-15,11.07
Weld,2020-05-16,8.31
Weld,2020-05-17,5.54
Weld,2020-05-18,3.96
Weld,2020-05-19,8.31
Weld,2020-05-20,4.75
Weld,2020-05-21,7.91
Weld,2020-05-22,3.56
Weld,2020-05-23,9.49
Weld,2020-05-24,5.93
Weld,2020-05-25,2.37
Weld,2020-05-26,4.35
Weld,2020-05-27,2.77
Weld,2020-05-28,5.54
Weld,2020-05-29,11.07
Weld,2020-05-30,3.16
Weld,2020-05-31,3.16
Weld,2020-06-01,5.14
Weld,2020-06-02,1.58
Weld,2020-06-03,6.33
Weld,2020-06-04,5.14
Weld,2020-06-05,2.37
Weld,2020-06-06,10.28
Weld,2020-06-07,6.72
Weld,2020-06-08,5.93
Weld,2020-06-09,2.37
Weld,2020-06-10,4.75
Weld,2020-06-11,5.14
Weld,2020-06-12,6.72
Weld,2020-06-13,2.37
Weld,2020-06-14,1.58
Weld,2020-06-15,3.96
Weld,2020-06-16,1.98
Weld,2020-06-17,8.7
Weld,2020-06-18,1.98
Weld,2020-06-19,2.77
Weld,2020-06-20,3.56
Weld,2020-06-21,2.77
Weld,2020-06-22,1.19
Weld,2020-06-23,2.37
Weld,2020-06-24,6.33
Weld,2020-06-25,4.35
Weld,2020-06-26,6.33
Weld,2020-06-27,3.96
Weld,2020-06-28,1.98
Weld,2020-06-29,3.96
Weld,2020-06-30,1.58
Weld,2020-07-01,8.31
Weld,2020-07-02,6.33
Weld,2020-07-03,5.93
Weld,2020-07-04,3.16
Weld,2020-07-05,3.56
Weld,2020-07-06,5.93
Weld,2020-07-07,6.72
Weld,2020-07-08,10.68
Weld,2020-07-09,12.26
Weld,2020-07-10,10.28
Weld,2020-07-11,0.4
Weld,2020-07-12,4.35
Weld,2020-07-13,16.61
Weld,2020-07-14,11.47
Weld,2020-07-15,13.84
Weld,2020-07-16,19.78
Weld,2020-07-17,11.47
Weld,2020-07-18,1.98
Weld,2020-07-19,8.31
Weld,2020-07-20,18.59
Weld,2020-07-21,9.49
Weld,2020-07-22,10.68
Weld,2020-07-23,14.63
Weld,2020-07-24,3.16
Weld,2020-07-25,13.05
Weld,2020-07-26,8.7
Weld,2020-07-27,15.82
Weld,2020-07-28,5.54
Weld,2020-07-29,6.33
Weld,2020-07-30,5.14
Weld,2020-07-31,12.66
Weld,2020-08-01,0.79
Weld,2020-08-02,8.31
Weld,2020-08-03,12.66
Weld,2020-08-04,7.52
Weld,2020-08-05,11.87
Weld,2020-08-06,3.16
Weld,2020-08-07,17.8
Weld,2020-08-08,6.33
Weld,2020-08-09,5.14
Weld,2020-08-10,13.45
Weld,2020-08-11,0.0
Weld,2020-08-12,7.91
Weld,2020-08-13,9.49
Weld,2020-08-14,5.14
Weld,2020-08-15,0.4
Weld,2020-08-16,9.49
