county,date,per_capita_rate 
Arapahoe,2020-03-09,0.17
Arapahoe,2020-03-10,0.35
Arapahoe,2020-03-11,0.52
Arapahoe,2020-03-12,0.52
Arapahoe,2020-03-13,1.22
Arapahoe,2020-03-14,1.75
Arapahoe,2020-03-15,2.62
Arapahoe,2020-03-16,2.62
Arapahoe,2020-03-17,3.15
Arapahoe,2020-03-18,3.85
Arapahoe,2020-03-19,3.85
Arapahoe,2020-03-20,5.07
Arapahoe,2020-03-21,6.99
Arapahoe,2020-03-22,7.87
Arapahoe,2020-03-23,9.96
Arapahoe,2020-03-24,11.71
Arapahoe,2020-03-25,14.86
Arapahoe,2020-03-26,20.28
Arapahoe,2020-03-27,25.87
Arapahoe,2020-03-28,33.92
Arapahoe,2020-03-29,39.51
Arapahoe,2020-03-30,51.22
Arapahoe,2020-03-31,58.04
Arapahoe,2020-04-01,62.76
Arapahoe,2020-04-02,73.25
Arapahoe,2020-04-03,82.34
Arapahoe,2020-04-04,89.51
Arapahoe,2020-04-05,98.43
Arapahoe,2020-04-06,103.85
Arapahoe,2020-04-07,113.46
Arapahoe,2020-04-08,118.18
Arapahoe,2020-04-09,132.52
Arapahoe,2020-04-10,135.66
Arapahoe,2020-04-11,138.81
Arapahoe,2020-04-12,147.2
Arapahoe,2020-04-13,145.8
Arapahoe,2020-04-14,145.63
Arapahoe,2020-04-15,150.7
Arapahoe,2020-04-16,157.52
Arapahoe,2020-04-17,160.66
Arapahoe,2020-04-18,165.38
Arapahoe,2020-04-19,162.24
Arapahoe,2020-04-20,166.08
Arapahoe,2020-04-21,162.76
Arapahoe,2020-04-22,166.61
Arapahoe,2020-04-23,165.56
Arapahoe,2020-04-24,192.13
Arapahoe,2020-04-25,189.68
Arapahoe,2020-04-26,188.29
Arapahoe,2020-04-27,194.05
Arapahoe,2020-04-28,197.38
Arapahoe,2020-04-29,200.35
Arapahoe,2020-04-30,197.55
Arapahoe,2020-05-01,198.95
Arapahoe,2020-05-02,197.03
Arapahoe,2020-05-03,204.54
Arapahoe,2020-05-04,202.1
Arapahoe,2020-05-05,215.73
Arapahoe,2020-05-06,220.28
Arapahoe,2020-05-07,221.15
Arapahoe,2020-05-08,195.45
Arapahoe,2020-05-09,200.17
Arapahoe,2020-05-10,194.4
Arapahoe,2020-05-11,185.49
Arapahoe,2020-05-12,184.96
Arapahoe,2020-05-13,187.94
Arapahoe,2020-05-14,184.26
Arapahoe,2020-05-15,179.37
Arapahoe,2020-05-16,179.54
Arapahoe,2020-05-17,174.3
Arapahoe,2020-05-18,176.4
Arapahoe,2020-05-19,165.03
Arapahoe,2020-05-20,159.44
Arapahoe,2020-05-21,149.3
Arapahoe,2020-05-22,144.4
Arapahoe,2020-05-23,139.68
Arapahoe,2020-05-24,134.09
Arapahoe,2020-05-25,133.22
Arapahoe,2020-05-26,131.29
Arapahoe,2020-05-27,122.73
Arapahoe,2020-05-28,118.01
Arapahoe,2020-05-29,117.31
Arapahoe,2020-05-30,122.55
Arapahoe,2020-05-31,120.8
Arapahoe,2020-06-01,113.46
Arapahoe,2020-06-02,109.44
Arapahoe,2020-06-03,106.12
Arapahoe,2020-06-04,106.64
Arapahoe,2020-06-05,107.87
Arapahoe,2020-06-06,104.72
Arapahoe,2020-06-07,104.54
Arapahoe,2020-06-08,102.8
Arapahoe,2020-06-09,98.95
Arapahoe,2020-06-10,94.93
Arapahoe,2020-06-11,91.26
Arapahoe,2020-06-12,87.41
Arapahoe,2020-06-13,76.05
Arapahoe,2020-06-14,71.5
Arapahoe,2020-06-15,70.28
Arapahoe,2020-06-16,65.21
Arapahoe,2020-06-17,63.81
Arapahoe,2020-06-18,58.04
Arapahoe,2020-06-19,54.89
Arapahoe,2020-06-20,51.57
Arapahoe,2020-06-21,53.15
Arapahoe,2020-06-22,54.55
Arapahoe,2020-06-23,53.5
Arapahoe,2020-06-24,54.72
Arapahoe,2020-06-25,59.96
Arapahoe,2020-06-26,60.49
Arapahoe,2020-06-27,59.27
