county,date,per_capita_rate 
Boulder,2020-03-14,0.34
Boulder,2020-03-15,1.19
Boulder,2020-03-16,0.79
Boulder,2020-03-17,0.68
Boulder,2020-03-18,0.54
Boulder,2020-03-19,0.62
Boulder,2020-03-20,1.16
Boulder,2020-03-21,1.41
Boulder,2020-03-22,1.45
Boulder,2020-03-23,1.55
Boulder,2020-03-24,1.99
Boulder,2020-03-25,2.09
Boulder,2020-03-26,2.67
Boulder,2020-03-27,2.52
Boulder,2020-03-28,2.62
Boulder,2020-03-29,2.57
Boulder,2020-03-30,2.96
Boulder,2020-03-31,2.81
Boulder,2020-04-01,3.06
Boulder,2020-04-02,3.2
Boulder,2020-04-03,3.25
Boulder,2020-04-04,3.64
Boulder,2020-04-05,4.22
Boulder,2020-04-06,4.32
Boulder,2020-04-07,4.8
Boulder,2020-04-08,4.51
Boulder,2020-04-09,4.12
Boulder,2020-04-10,4.41
Boulder,2020-04-11,4.22
Boulder,2020-04-12,4.22
Boulder,2020-04-13,4.61
Boulder,2020-04-14,4.22
Boulder,2020-04-15,4.51
Boulder,2020-04-16,4.61
Boulder,2020-04-17,4.51
Boulder,2020-04-18,4.66
Boulder,2020-04-19,4.27
Boulder,2020-04-20,3.69
Boulder,2020-04-21,4.7
Boulder,2020-04-22,5.67
Boulder,2020-04-23,5.53
Boulder,2020-04-24,6.94
Boulder,2020-04-25,7.52
Boulder,2020-04-26,7.18
Boulder,2020-04-27,7.52
Boulder,2020-04-28,7.42
Boulder,2020-04-29,7.18
Boulder,2020-04-30,7.47
Boulder,2020-05-01,7.18
Boulder,2020-05-02,7.23
Boulder,2020-05-03,7.81
Boulder,2020-05-04,7.95
Boulder,2020-05-05,6.89
Boulder,2020-05-06,6.55
Boulder,2020-05-07,6.79
Boulder,2020-05-08,6.06
Boulder,2020-05-09,5.38
Boulder,2020-05-10,5.14
Boulder,2020-05-11,4.75
Boulder,2020-05-12,5.0
Boulder,2020-05-13,4.7
Boulder,2020-05-14,4.12
Boulder,2020-05-15,3.98
Boulder,2020-05-16,3.78
Boulder,2020-05-17,3.73
Boulder,2020-05-18,3.88
Boulder,2020-05-19,4.03
Boulder,2020-05-20,3.93
Boulder,2020-05-21,4.12
Boulder,2020-05-22,3.54
Boulder,2020-05-23,4.27
Boulder,2020-05-24,4.07
Boulder,2020-05-25,3.64
Boulder,2020-05-26,3.39
Boulder,2020-05-27,3.35
Boulder,2020-05-28,3.2
Boulder,2020-05-29,3.2
Boulder,2020-05-30,2.47
Boulder,2020-05-31,2.52
Boulder,2020-06-01,2.52
Boulder,2020-06-02,2.18
Boulder,2020-06-03,2.33
Boulder,2020-06-04,2.33
Boulder,2020-06-05,2.13
Boulder,2020-06-06,1.79
Boulder,2020-06-07,1.75
Boulder,2020-06-08,1.84
Boulder,2020-06-09,1.99
Boulder,2020-06-10,1.75
Boulder,2020-06-11,1.75
Boulder,2020-06-12,1.99
Boulder,2020-06-13,2.62
Boulder,2020-06-14,2.62
Boulder,2020-06-15,3.2
Boulder,2020-06-16,3.54
Boulder,2020-06-17,5.14
Boulder,2020-06-18,6.45
Boulder,2020-06-19,7.86
Boulder,2020-06-20,7.91
Boulder,2020-06-21,8.39
Boulder,2020-06-22,8.29
Boulder,2020-06-23,8.83
Boulder,2020-06-24,8.15
Boulder,2020-06-25,7.18
Boulder,2020-06-26,6.06
Boulder,2020-06-27,5.77
Boulder,2020-06-28,5.67
Boulder,2020-06-29,5.24
Boulder,2020-06-30,4.95
Boulder,2020-07-01,4.66
Boulder,2020-07-02,4.51
Boulder,2020-07-03,4.27
Boulder,2020-07-04,4.12
Boulder,2020-07-05,3.69
Boulder,2020-07-06,4.17
Boulder,2020-07-07,3.83
Boulder,2020-07-08,3.78
Boulder,2020-07-09,3.78
Boulder,2020-07-10,3.83
Boulder,2020-07-11,4.36
Boulder,2020-07-12,4.41
Boulder,2020-07-13,4.32
Boulder,2020-07-14,5.29
Boulder,2020-07-15,5.63
Boulder,2020-07-16,6.11
Boulder,2020-07-17,6.55
Boulder,2020-07-18,5.87
Boulder,2020-07-19,6.11
Boulder,2020-07-20,6.16
Boulder,2020-07-21,5.33
Boulder,2020-07-22,5.19
Boulder,2020-07-23,4.75
Boulder,2020-07-24,5.77
Boulder,2020-07-25,6.4
Boulder,2020-07-26,6.5
Boulder,2020-07-27,6.45
Boulder,2020-07-28,6.94
Boulder,2020-07-29,6.64
Boulder,2020-07-30,7.18
Boulder,2020-07-31,6.45
Boulder,2020-08-01,6.3
Boulder,2020-08-02,7.32
Boulder,2020-08-03,7.76
Boulder,2020-08-04,6.98
Boulder,2020-08-05,8.54
Boulder,2020-08-06,8.1
Boulder,2020-08-07,7.71
Boulder,2020-08-08,7.23
Boulder,2020-08-09,6.4
Boulder,2020-08-10,6.01
Boulder,2020-08-11,6.6
Boulder,2020-08-12,5.09
Boulder,2020-08-13,4.8
Boulder,2020-08-14,4.27
Boulder,2020-08-15,4.22
Boulder,2020-08-16,3.69
Boulder,2020-08-17,2.67
Boulder,2020-08-18,2.33
Boulder,2020-08-19,2.76
Boulder,2020-08-20,2.72
Boulder,2020-08-21,3.1
Boulder,2020-08-22,3.59
Boulder,2020-08-23,3.83
Boulder,2020-08-24,4.75
Boulder,2020-08-25,4.7
Boulder,2020-08-26,3.83
Boulder,2020-08-27,4.12
Boulder,2020-08-28,3.98
Boulder,2020-08-29,3.59
Boulder,2020-08-30,3.39
Boulder,2020-08-31,3.73
Boulder,2020-09-01,3.59
Boulder,2020-09-02,4.27
Boulder,2020-09-03,4.36
Boulder,2020-09-04,5.63
Boulder,2020-09-05,6.01
Boulder,2020-09-06,8.88
Boulder,2020-09-07,8.05
Boulder,2020-09-08,8.63
Boulder,2020-09-09,11.15
Boulder,2020-09-10,12.61
Boulder,2020-09-11,13.19
Boulder,2020-09-12,16.78
Boulder,2020-09-13,15.33
Boulder,2020-09-14,19.16
Boulder,2020-09-15,23.62
Boulder,2020-09-16,23.57
Weld,2020-03-13,0.4
Weld,2020-03-14,0.4
Weld,2020-03-15,0.53
Weld,2020-03-16,0.4
Weld,2020-03-17,0.4
Weld,2020-03-18,0.59
Weld,2020-03-19,0.51
Weld,2020-03-20,0.79
Weld,2020-03-21,1.07
Weld,2020-03-22,1.86
Weld,2020-03-23,2.6
Weld,2020-03-24,4.01
Weld,2020-03-25,4.41
Weld,2020-03-26,5.54
Weld,2020-03-27,6.44
Weld,2020-03-28,7.91
Weld,2020-03-29,8.08
Weld,2020-03-30,9.32
Weld,2020-03-31,10.11
Weld,2020-04-01,11.64
Weld,2020-04-02,12.54
Weld,2020-04-03,14.13
Weld,2020-04-04,14.86
Weld,2020-04-05,16.39
Weld,2020-04-06,16.33
Weld,2020-04-07,15.93
Weld,2020-04-08,15.82
Weld,2020-04-09,16.1
Weld,2020-04-10,15.26
Weld,2020-04-11,14.63
Weld,2020-04-12,15.14
Weld,2020-04-13,17.18
Weld,2020-04-14,18.14
Weld,2020-04-15,20.06
Weld,2020-04-16,19.55
Weld,2020-04-17,19.04
Weld,2020-04-18,19.55
Weld,2020-04-19,18.76
Weld,2020-04-20,17.69
Weld,2020-04-21,18.19
Weld,2020-04-22,17.46
Weld,2020-04-23,17.12
Weld,2020-04-24,20.74
Weld,2020-04-25,22.66
Weld,2020-04-26,22.55
Weld,2020-04-27,23.9
Weld,2020-04-28,24.75
Weld,2020-04-29,26.39
Weld,2020-04-30,28.99
Weld,2020-05-01,25.37
Weld,2020-05-02,22.94
Weld,2020-05-03,22.77
Weld,2020-05-04,19.95
Weld,2020-05-05,19.04
Weld,2020-05-06,16.05
Weld,2020-05-07,15.03
Weld,2020-05-08,16.1
Weld,2020-05-09,16.05
Weld,2020-05-10,15.09
Weld,2020-05-11,14.8
Weld,2020-05-12,13.28
Weld,2020-05-13,12.6
Weld,2020-05-14,10.74
Weld,2020-05-15,9.78
Weld,2020-05-16,9.1
Weld,2020-05-17,8.81
Weld,2020-05-18,8.25
Weld,2020-05-19,7.68
Weld,2020-05-20,7.18
Weld,2020-05-21,7.12
Weld,2020-05-22,6.05
Weld,2020-05-23,6.22
Weld,2020-05-24,6.27
Weld,2020-05-25,6.05
Weld,2020-05-26,5.48
Weld,2020-05-27,5.2
Weld,2020-05-28,4.86
Weld,2020-05-29,5.93
Weld,2020-05-30,5.03
Weld,2020-05-31,4.63
Weld,2020-06-01,5.03
Weld,2020-06-02,4.63
Weld,2020-06-03,5.14
Weld,2020-06-04,5.09
Weld,2020-06-05,3.84
Weld,2020-06-06,4.86
Weld,2020-06-07,5.37
Weld,2020-06-08,5.48
Weld,2020-06-09,5.59
Weld,2020-06-10,5.37
Weld,2020-06-11,5.37
Weld,2020-06-12,5.99
Weld,2020-06-13,4.86
Weld,2020-06-14,4.12
Weld,2020-06-15,3.84
Weld,2020-06-16,3.79
Weld,2020-06-17,4.35
Weld,2020-06-18,3.9
Weld,2020-06-19,3.33
Weld,2020-06-20,3.5
Weld,2020-06-21,3.67
Weld,2020-06-22,3.28
Weld,2020-06-23,3.33
Weld,2020-06-24,2.99
Weld,2020-06-25,3.33
Weld,2020-06-26,3.84
Weld,2020-06-27,3.9
Weld,2020-06-28,3.79
Weld,2020-06-29,4.18
Weld,2020-06-30,4.07
Weld,2020-07-01,4.35
Weld,2020-07-02,4.63
Weld,2020-07-03,4.58
Weld,2020-07-04,4.46
Weld,2020-07-05,4.69
Weld,2020-07-06,4.97
Weld,2020-07-07,5.71
Weld,2020-07-08,6.05
Weld,2020-07-09,6.89
Weld,2020-07-10,7.52
Weld,2020-07-11,7.12
Weld,2020-07-12,7.23
Weld,2020-07-13,8.76
Weld,2020-07-14,9.44
Weld,2020-07-15,9.89
Weld,2020-07-16,10.96
Weld,2020-07-17,11.13
Weld,2020-07-18,11.36
Weld,2020-07-19,11.92
